Revision 02/04/2026,,,,,,,,
Title,Start Date,Start Time,Description,Location,Contact,Extra Info,RC Fleet,Race Committee
Sunset Series 17,"Wednesday, July 22, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Santana 22 Nationals Day 1,"Friday, July 24, 2026",3:00 PM,,MPYC,Meryle Carder,BOATS: DW & Chase,PRO: Jerry Stratton,
Santana 22 Nationals Day 2,"Saturday, July 25, 2026",TBD,,MPYC,Meryle Carder,BOATS: DW & 2x Chase,PRO: Jerry Stratton,
Santana 22 Nationals Day 3,"Sunday, July 26, 2026",TBD,,MPYC,Meryle Carder,BOATS: DW & 2x Chase,PRO: Jerry Stratton,
Sunset Series 18,"Wednesday, July 29, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Santanarama Regatta - Day 1,"Saturday, August 01, 2026",12:00 PM,All,Stillwater YC,,None,TBD,
Santanarama Regatta - Day 2,"Sunday, August 02, 2026",12:00 PM,All,Stillwater YC,,None,TBD,
Sunset Series 19,"Wednesday, August 05, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
PHRF Fall 1 & 2,"Sunday, August 09, 2026",1:00 PM,PHRF,MPYC,,BOATS: DW & Chase,One Design,
Sunset Series 20,"Wednesday, August 12, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
One Design Fall 1 & 2,"Sunday, August 16, 2026",1:00 PM,Shields/S22,MPYC,,BOATS: DW & Chase,PHRF,
Sunset Series 21,"Wednesday, August 19, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Double Angle Invitational Race (MBYRA  Race #5),"Saturday, August 22, 2026",12:30 PM,PHRF,MPYC-Elkhorn YC,EYC/MPYC,BOATS: DW,One Design,
Sunset Series 22,"Wednesday, August 26, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Potter Monterey Challenge,"Saturday, August 29, 2026",,TBD,,,,,
Sunset Series 23,"Wednesday, September 02, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Sunset Series 24,"Wednesday, September 09, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
One Design Fall 3 & 4,"Sunday, September 13, 2026",1:00 PM,Shields/S22,MPYC,,BOATS: DW & Chase,PHRF,
Sunset Series 25,"Wednesday, September 16, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
Mercury Nationals - Day 1,"Friday, September 18, 2026",12:00 PM,SC27,MPYC,race@MPYC.org,BOATS: DW & 2x Chase,NC,
Mercury Nationals - Day 2,"Saturday, September 19, 2026",12:00 PM,SC27,MPYC,race@MPYC.org,BOATS: DW & 2x Chase,NC,
Mercury Nationals - Day 3,"Sunday, September 20, 2026",12:00 PM,SC27,MPYC,race@MPYC.org,BOATS: DW & 2x Chase,NC,
Sunset Series 26 - Last Scored Race of the Season,"Wednesday, September 23, 2026",6:00 PM,All,MPYC,,BOATS: DW,All,
PHRF Fall 3 Long Distance/David Duncan Race,"Sunday, September 27, 2026",1:00 PM,PHRF,MPYC,,BOATS: DW,One Design,
Sunset Series - Rabbit Start,"Wednesday, September 30, 2026",5:30 PM,All,MPYC,,Rabbit Start,NA,
PHRF Fall 4 & 5,"Sunday, October 04, 2026",1:00 PM,PHRF,MPYC,,BOATS: DW & Chase,One Design,
Sunset Series - Rabbit Start,"Wednesday, October 07, 2026",5:30 PM,All,MPYC,,BOATS: DW,NA,
Sea Otter Youth Regatta - Day 1,"Saturday, October 10, 2026",TBD,Juniors,MPYC,Ashley Book,BOATS: DW & Chase,TBD,
Sea Otter Youth Regatta - Day 2,"Sunday, October 11, 2026",TBD,Juniors,MPYC,Ashley Book,BOATS: DW & Chase,TBD,
One Design Fall 5 & 6,"Sunday, October 18, 2026",1:00 PM,Shields/S22,MPYC,,BOATS: DW & Chase,PHRF,
Kelp Cup (Champion of Champions Regatta),"Sunday, October 25, 2026",1:00 PM,S22,MPYC,,BOATS: DW & Chase,TBD,
Crew's Revenge,"Sunday, November 01, 2026",12:00 PM,All,MPYC,,BOATS: DW,All,
Winter Frost Youth Regatta,"Sunday, December 13, 2026",TBD,Juniors,MPYC,Stratton,BOATS: DW & Chase,TBD,
Boxing Day Race - Rabbit Start,"Saturday, December 26, 2026",12:00 PM,All,MPYC,,NA,NA,
Racing 2026-2026 Debrief and Planning Meeting,"Thursday, January 22, 2026",6:00 PM,All,MPYC,Mark Chaffey,,,
JANUARY,,,,,,,,
FEBRUARY,,,,,,,,
MARCH,,,,,,,,
APRIL,,,,,,,,
MAY,,,,,,,,
JUNE,,,,,,,,
JULY,,,,,,,,
AUGUST,,,,,,,,
SEPTEMBER,,,,,,,,
OCTOBER,,,,,,,,
,,,,,,,,
,,,,,,,,
NOVEMBER,,,,,,,,
DECEMBER,,,,,,,,
